Position,Company,Location,Salary,url,Job_Description
ReactJS Developer intern,Constems-AI,Noida,₹10T (Employer Est.),"https://www.glassdoor.co.in/job-listing/reactjs-developer-intern-constems-ai-JV_IC4477468_KO0,24_KE25,36.htm?jl=1009395932098","Constems-AI
ReactJS Developer intern
Noida
Easy Apply
Easy Apply
React.js Developer Responsibilities:
Reviewing application requirements and interface designs.
Identifying web-based user interactions.
Developing and implementing highly responsive user interface components using react concepts.
Writing application interface codes using JavaScript following react.js workflows.
Troubleshooting interface software and debugging application codes.
Developing and implementing front-end architecture to support user interface concepts.
Monitoring and improving front-end performance.
React.js Developer Requirements:
Bachelor’s degree in computer science, information technology, or a similar field.
Previous experience working as a react.js developer.
In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.
Knowledge of REACT tools including React.js, Webpack, Enzyme, Redux, and Flux.
Experience with user interface design.
Knowledge of performance testing frameworks including Mocha and Jest.
Experience with browser-based debugging and performance testing software.
Job Type: Internship
Contract length: 6 months
Pay: ₹10,000.00 per month
Ability to commute/relocate:
Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
React: 1 year (Preferred)
Node.js: 1 year (Preferred)
java: 1 year (Preferred)
Show less
Base pay
The minimum salary is ₹10T and the max salary is ₹10T.
₹10T/mo (Employer est.)
Noida
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
ReactJS Developer Intern,Socialveins Pvt Ltd,Noida,₹3T - ₹5T (Employer Est.),"https://www.glassdoor.co.in/job-listing/reactjs-developer-intern-socialveins-pvt-ltd-JV_IC4477468_KO0,24_KE25,44.htm?jl=1009426502154","Socialveins Pvt Ltd
ReactJS Developer Intern
Noida
Easy Apply
Easy Apply
Role Summary:
As a React.js Intern, you will be responsible for assisting in the development and implementation of user interface components using React.js concepts and workflows such as Redux, Hooks, and Webpack. You will work closely with our development team to ensure the technical feasibility of UI/UX designs and translate them into high-quality code.
Key Responsibilities:
Collaborate with the development team to discuss user interface ideas and applications.
Review application requirements and interface designs.
Identify web-based user interactions.
Develop and implement highly responsive user interface components using React concepts.
Write application interface codes using JavaScript following React.js workflows.
Troubleshoot interface software and debugging application codes.
Develop and implement front-end architecture to support user interface concepts.
Monitor and improve front-end performance.
Document application changes and developing updates.
Qualifications:
Currently enrolled in an undergraduate or graduate degree in Computer Science, Information Technology, or a related field.
Strong understanding of React.js and its core principles.
Familiarity with newer specifications of EcmaScript.
Experience with HTML, CSS, JavaScript, and front-end languages.
Knowledge of REACT tools including React.js, Webpack, Enzyme, Redux, and Flux.
Experience with user interface design.
Knowledge of performance testing frameworks including Mocha and Jest.
Excellent troubleshooting skills.
Good project management skills.
Learning Opportunities:
Gain practical, real-world experience in front-end development with a focus on React.js.
Work on diverse projects that make a tangible impact on our products.
Receive mentorship and guidance from experienced developers.
Job Types: Full-time, Internship
Contract length: 6 months
Pay: ₹3,000.00 - ₹5,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Morning shift
Supplemental Pay:
Performance bonus
Quarterly bonus
Shift allowance
Yearly bonus
Work Location: In person
Show less
Base pay range
The minimum salary is ₹3T and the max salary is ₹5T.
₹3T – ₹5T/mo (Employer est.)
₹4T
/mo Median
Noida
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Backend Developer Intern,INTERNATIONAL YOUTH EDU-SKILLS FOUNDATION,Noida,₹5T - ₹25T (Employer Est.),"https://www.glassdoor.co.in/job-listing/backend-developer-intern-international-youth-edu-skills-foundation-JV_IC4477468_KO0,24_KE25,66.htm?jl=1009377074499","INTERNATIONAL YOUTH EDU-SKILLS FOUNDATION
Backend Developer Intern
Noida
Easy Apply
Easy Apply
Responsibilities:
Assist in developing and maintaining backend services and APIs.
Collaborate with front-end developers to integrate user-facing elements with server-side logic.
Participate in code reviews and contribute to the improvement of coding practices.
Assist in optimizing and refactoring existing code for performance and scalability.
Help with database design, management, and optimization.
Write clean, maintainable, and efficient code.
Troubleshoot, debug, and resolve software issues.
Stay updated with the latest industry trends and technologies.
Requirements:
Basic understanding of backend development concepts and principles.
Familiarity with at least one programming language (e.g., Python, Java, Ruby, Node.js).
Knowledge of database systems (e.g., MySQL, PostgreSQL, MongoDB).
Understanding of RESTful API design and implementation.
Familiarity with version control systems (e.g., Git).
Basic understanding of server, network, and hosting environments.
Strong problem-solving skills and attention to detail.
Ability to work independently and as part of a team.
Strong communication skills and willingness to learn.
Preferred Qualifications:
Experience with web frameworks (e.g., Django, Flask, Spring Boot, Express.js).
Familiarity with cloud platforms (e.g., AWS, Azure, Google Cloud).
Understanding of microservices architecture.
Knowledge of containerization tools (e.g., Docker, Kubernetes).
Experience with unit testing and test-driven development (TDD).
Benefits:
Hands-on experience with real-world projects.
Mentorship from experienced developers.
Opportunity to learn and grow in a supportive environment.
Flexible working hours and remote work options.
Potential for full-time employment upon successful completion of the internship.
Networking opportunities with industry professionals.
Job Types: Full-time, Fresher, Internship
Pay: ₹5,000.00 - ₹25,000.00 per month
Location Type:
In-person
Schedule:
Fixed shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Programming: 1 year (Preferred)
total work: 1 year (Required)
Work Location: In person
Show less
Base pay range
The minimum salary is ₹5T and the max salary is ₹25T.
₹5T – ₹25T/mo (Employer est.)
₹15T
/mo Median
Noida
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Andoid App Developer Intern,Constems-AI,Noida,₹10T (Employer Est.),"https://www.glassdoor.co.in/job-listing/andoid-app-developer-intern-constems-ai-JV_IC4477468_KO0,27_KE28,39.htm?jl=1009485312339","Constems-AI
Andoid App Developer Intern
Noida
Easy Apply
Easy Apply
Key Responsibilities:
Develop and maintain Android applications.
Collaborate with cross-functional teams to design, develop, and test new features.
Ensure the performance, quality, and responsiveness of applications.
Identify and fix bugs, and improve the performance of existing applications.
Stay up-to-date with new trends, libraries, and technologies in Android development.
Requirements:
Currently pursuing or recently completed a degree in Computer Science, Software Engineering or a related field.
Knowledge of Java and/or Kotlin programming languages.
Understanding of Android SDK, Android Studio, and Android API levels.
Familiarity with RESTful APIs and JSON data format.
Strong analytical and problem-solving skills.
Ability to work in a team environment.
Excellent written and verbal communication skills.
Job Type: Internship
Contract length: 6 months
Pay: ₹10,000.00 per month
Schedule:
Day shift
Monday to Friday
Ability to commute/relocate:
Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Application development: 1 year (Preferred)
Show less
Base pay
The minimum salary is ₹10T and the max salary is ₹10T.
₹10T/mo (Employer est.)
Noida
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Java Developer Intern,Parakh Online,Delhi,₹25T - ₹40T (Employer Est.),"https://www.glassdoor.co.in/job-listing/java-developer-intern-parakh-online-JV_KO0,21_KE22,35.htm?jl=1008032843554","Parakh Online
4.1
Java Developer Intern
Delhi
Apply on employer site
Apply on employer site
Job Information
Date Opened
09/05/2023
Job Type
Full time
Work Experience
0-1 year
Industry
Technology
Salary
25-40k
City
New Delhi
State/Province
Delhi
Country
India
Zip/Postal Code
110077
About Us
<h3 style=""line-height: 2.1; margin-top: 15pt; margin-bottom: 4pt"" dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">About us</span><br /></h3><div dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Who We Are</span><br /></div><p style=""line-height: 1.38; margin-top: 15pt; margin-bottom: 0pt"" dir=""ltr""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Edmik Tech Pvt. Ltd. is at the forefront of technological innovation with our latest project, Orange Network, which aims to revolutionize educational content access and delivery. We&#39;re not just creating a platform but spearheading a movement towards a more informed and connected world.</span><br /></p><h3 style=""line-height: 2.1; margin-top: 15pt; margin-bottom: 4pt"" dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Our Mission</span><br /></h3><p style=""line-height: 1.38; margin-top: 15pt; margin-bottom: 15pt"" dir=""ltr""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">As a recognized and well-funded edtech organization, we focus on providing end-to-end tech solutions to educational institutes, especially in rural and semi-rural areas, making technology affordable and accessible. With recent international investment, we&#39;re poised for rapid growth.</span><br /></p><h3 style=""line-height: 2.1; margin-top: 15pt; margin-bottom: 4pt"" dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Culture and Opportunities</span><br /></h3><p style=""line-height: 1.38; margin-top: 15pt; margin-bottom: 15pt"" dir=""ltr""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">We pride ourselves on a transparent and approachable management team, offering opportunities to individuals from diverse backgrounds. Our company culture celebrates learning, with many of our team members starting as interns and growing into full-time roles. We believe in empowering our employees, including those looking to rejoin the workforce, particularly women, fostering an environment of trust and growth.</span><br /></p><h3 style=""line-height: 2.1; margin-top: 15pt; margin-bottom: 4pt"" dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Join Us</span><br /></h3><p style=""line-height: 1.2; margin-top: 0pt; margin-bottom: 15pt"" dir=""ltr""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">At Edmik Tech, you&#39;re more than just an employee - you&#39;re a key player in shaping the future. Discover how you can contribute to our mission and be part of something bigger at</span><a style=""text-decoration: none"" href=""http://www.ornet.tech/"" target=""_blank""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(17, 85, 204); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: underline; vertical-align: baseline; white-space: pre; white-space: pre-wrap""> www.ornet.tech</span></a><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">.</span><br /></p><h3 style=""line-height: 2.1; margin-top: 15pt; margin-bottom: 4pt"" dir=""ltr""><span style=""font-size: 13pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(0, 0, 0); background-color: transparent; font-weight: 700; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Let&#39;s Innovate Together</span><br /></h3><p style=""line-height: 1.38; margin-top: 15pt; margin-bottom: 0pt"" dir=""ltr""><span style=""font-size: 12pt; font-family: &quot;EB Garamond&quot;, serif; color: rgb(13, 13, 13); background-color: transparent; font-weight: 600; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre; white-space: pre-wrap"">Your work at Edmik Tech lays the foundation for a brighter, more educated tomorrow. Let&#39;s create, impact, and inspire together.</span><br /></p><div><br /></div>
Job Description
About the company

Parakh is a B2B Edtech SaaS company based out of New Delhi.

We are a fast pace growing organization whose idea is to bring a fundamental change in the current process of activities taking place in the assessment & education industry. We are making them relevant to the digital age by offering industry specific technological solutions at affordable prices.

Our core team is holding a great corporate and entrepreneurial experience in managing online/offline examinations, multi-domain exposure.

We offer Software Services, IT Infrastructure Services, Online Assessment Services and Complete Institute Management Solution to our clients into the Education and Assessment Industry.

Main Duties and Responsibilities:

Translate application storyboards and use cases into functional applications

Design, build, and maintain efficient, reusable, and reliable code

Build and maintain customized applications and reports.

Integrate data from various backend services and databases.

Ensure the best possible performance, quality, and responsiveness of applications

Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues

Help maintain code quality, organization, and automatization

Will be working in sprint based Agile model

Should be able debug the production environments

Should be able to integrate the Backend APIs in web application

Customise current applications in line with changing business needs.

Identify bottlenecks and bugs and devise solutions to address these issues.

Demonstrate a positive, enthusiastic, committed and flexible attitude towards other team members, recognising the importance and benefits of effective team working.

Carry out any other duties within the scope, spirit and purpose of the job as requested by your organization.

Requirements
Essential Skills:

Proficient in {{Core Java, Spring Boot, SQL Server}} with a good knowledge of their ecosystems

Strong understanding of object-oriented programming

Skill for writing reusable libraries

Familiar with various design and architectural patterns

Knowledge of concurrency patterns

Experience with popular web application frameworks

Familiarity with Windows Presentation Framework

Knack for writing clean, readable, and easily maintainable code

Understanding of fundamental design principles for building a scalable application

Experience creating database schemas that represent and support business processes

Basic understanding of Common Language Runtime (CLR), its limitations, weaknesses, and workarounds

Experience implementing automated testing platforms and unit tests

Proficient understanding of code versioning tools {{such as Git, SVN}}

Preferred Skills:

Knowledge of {{AWS, Web RTC, Socket IO}} is a plus

Knowledge of different relational databases and deployment processes

Good understanding of asynchronous request handling, partial page updates, and AJAX

Have an interest in learning about DevOps

Benefits
Benefits offered:

Medical insurance (with flexibility to add your parents/dependents), PF, ESIC, Remote working, ESOPs to eligible employees, mentorship

In case anyone doesn’t have required technical knowledge, we take pride in teaching the relevant technical skills and help you even get better opportunities from the market
Show less
Base pay range
The minimum salary is ₹25T and the max salary is ₹40T.
₹25T – ₹40T/mo (Employer est.)
₹33T
/mo Median
Delhi
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
2011
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Unknown / Non-Applicable
Parakh Online Ratings
4.1
78 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career opportunities
4.1
Comp and Benefits
4.0
Culture and values
4.2
Senior management
4.2
Work/Life Balance
4.1
Parakh Online Reviews
Pros
""It team is very supportive."" (in 2 reviews)
""Experience you get is very valuable as fresher."" (in 2 reviews)
""Good management"" (in 2 reviews)
Cons
""They never pay the salary on time."" (in 5 reviews)
Parakh Online Benefits
1.0
3 Ratings
Employee benefit reviews
27 Mar 2023
Former Employee in New Delhi, Delhi
Work from home is the benefit
9 Apr 2021
Current Bussiness analyst in New Delhi, Delhi
Wrost Company I ever seen"
Flutter Developer (Intern),VAYUZ Technologies Private Limited,Noida,₹8T - ₹10T (Employer Est.),"https://www.glassdoor.co.in/job-listing/flutter-developer-intern-vayuz-technologies-private-limited-JV_IC4477468_KO0,24_KE25,59.htm?jl=1009368667878","VAYUZ Technologies Private Limited
Flutter Developer (Intern)
Noida
Easy Apply
Easy Apply
Design and Build sophisticated and highly salable apps using Flutter
2. Translate and Build the designs into high-quality responsive UI code
3. Write efficient queries for core data
4. Use of model-view-controller (MVC) and model-view-view-model-controller (MVVM) architecture and develop maintainable, testable, and functional software that meets product requirements
5. Resolve any problems existing in the system and suggest and add new features in the complete system
6. Follow the best practices while developing the app.
7. Use CI/CD for smooth deployment
8. Document the project and code efficiently
9. Manage the code and project on Git in order to keep in sync with other team members and managers
10. Suggest new features and/or enhancements
11. Maintain software through product life cycle including design, development, verification, and bug fixes
12. Write tests for the app
Experience - (2 - 8 Months)
Location - Onsite
Stipend - 8000
Duration - 6 Months
Pre Placement Offer
Must-Have Completed Graduation
Good to have a project on Flutter
Job Type: Full-time
Pay: ₹8,000.00 - ₹10,000.00 per month
Schedule:
Monday to Friday
Supplemental Pay:
Performance bonus
Application Question(s):
will you be able to relocate to noida?
Education:
Bachelor's (Required)
Work Location: In person
Show less
Base pay range
The minimum salary is ₹8T and the max salary is ₹10T.
₹8T – ₹10T/mo (Employer est.)
₹9T
/mo Median
Noida
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Web Developer Intern,Global Xpress Services,Delhi,₹5T (Employer Est.),"https://www.glassdoor.co.in/job-listing/web-developer-intern-global-xpress-services-JV_KO0,20_KE21,43.htm?jl=1009464248118","Global Xpress Services
Web Developer Intern
Delhi
Easy Apply
Easy Apply
IIT students
Having knowledge of Software |
Eager to learn new things
Punctual
Hard Working
Job Types: Full-time, Permanent
Pay: From ₹5,000.00 per month
Location Type:
In-person
Schedule:
Day shift
Work Location: In person
Show less
Base pay
The minimum salary is ₹5T and the max salary is ₹5T.
₹5T/mo (Employer est.)
Delhi
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Software Developer Intern (WhatsApp Automation),Stanza Shipping India Privat limited,India,₹5T - ₹10T (Employer Est.),"https://www.glassdoor.co.in/job-listing/software-developer-intern-whatsapp-automation-stanza-shipping-india-privat-limited-JV_KO0,45_KE46,82.htm?jl=1009452049496","Stanza Shipping India Privat limited
Software Developer Intern (WhatsApp Automation)
India
Easy Apply
Easy Apply
About us:
We are a private limited international logistics & freight forwarding company, located in mayur vihar phase-1. We are moving cargo in 52 countries via sea, air, and roads. We're on a continuous growth journey, driven by innovation, learning, and collaboration.
Summary:
As a Software Developer Intern, you'll contribute to the development, testing, and deployment of WhatsApp Automation solutions using Twilio, MessageBird, or similar APIs. You'll work closely with our experienced development team to gain hands-on experience in software development, problem-solving, and collaboration.
Responsibilities:
- Design, develop, test, and deploy WhatsApp Automation solutions
- Integrate WhatsApp APIs with our existing systems and tools
- Write clean, efficient, and well-documented code
- Collaborate with cross-functional teams (development, QA, design)
- Participate in code reviews and contribute to improving code quality
- Identify and troubleshoot issues
- Learn and adapt to new technologies and frameworks
Requirements:
- Currently pursuing a degree in Computer Science, Information Technology, or related field.
- Graphic Designing skills (Adobe Creative Suite, specifically Photoshop, Illustrator, and/or Sketch)
- Basic knowledge of JavaScript and google sheets.
- Familiarity with databases, data structures, and algorithms
- Strong problem-solving skills and attention to detail
- Excellent communication and teamwork skills
- Ability to learn quickly and adapt to new technologies
Job Type: Internship
Contract length: 1 - 3 months
Pay: ₹5,000.00 - ₹10,000.00 per month
Location Type:
In-person
Schedule:
Day shift
Work Location: In person
Show less
Base pay range
The minimum salary is ₹5T and the max salary is ₹10T.
₹5T – ₹10T/mo (Employer est.)
₹8T
/mo Median
India
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Website Developer Intern,My Side Team,Gurgaon,₹10T - ₹23T (Employer Est.),"https://www.glassdoor.co.in/job-listing/website-developer-intern-my-side-team-JV_IC2921225_KO0,24_KE25,37.htm?jl=1009485808228","My Side Team
Website Developer Intern
Gurgaon
Easy Apply
Easy Apply
We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
Responsibilities 1. Write well designed, testable, efficient code by using best software development practices
2. Create website layout/user interface by using standard HTML/CSS practices and templates
3. Integrate data from various back-end services and databases
4. Gather and refine specifications and requirements based on technical needs
5. Create and maintain software documentation
6. Be responsibile for maintaining, expanding, and scaling site
7. Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Requirements
1. Proven working experience in web programming
2. A solid understanding of how web applications work including security, session management, and best development practices
3. Adequate knowledge of relational database systems, Object Oriented Programming and web application development
4. Hands-on experience with network diagnostics, network analytics tools
5. Basic knowledge of Search Engine Optimization process
6. Aggressive problem diagnosis and creative problem solving skills
7. Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
8. Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
9. Graduate in computer science or a related field
Mandatory Proficiencies:
- HTML/ CSS - Javascript
- Wordpress/ Wix
- On Page SEO (at least)
- Databases
- Payment gateways integrations
- Basic APIs integration
Job Types: Full-time, Part-time, Internship, Contract
Pay: ₹10,000.00 - ₹22,500.00 per month
Schedule:
Day shift
Supplemental Pay:
Performance bonus
Work Location: In person
Show less
Base pay range
The minimum salary is ₹10T and the max salary is ₹23T.
₹10T – ₹23T/mo (Employer est.)
₹16T
/mo Median
Gurgaon
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page."
Full Stack Web Developer Intern,GITS India Solutions P Ltd,Delhi,₹6T (Employer Est.),"https://www.glassdoor.co.in/job-listing/full-stack-web-developer-intern-gits-india-solutions-p-ltd-JV_KO0,31_KE32,58.htm?jl=1009459452579","GITS India Solutions P Ltd
4.4
Full Stack Web Developer Intern
Delhi
Easy Apply
Easy Apply
Job Summary
We are looking for a coder / developer who is dedicated to his/her craft, writes code that is proud of and can hit the ground running. We need you to write high standard and light effective code, in a timely and scalable way that improves the code-base of our products in meaningful ways. You will be a part of a creative team that is responsible for all aspects of the ongoing software development from the initial specification, through to developing, testing and launching.
Responsibilities and Duties
Responsibilities
Write “clean”, well designed code
Produce detailed specifications
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
Contribute in all phases of the development lifecycle
Follow industry best practices
Develop and deploy new features to facilitate related procedures and tools if necessary
Required Experience, Skills and Qualifications
MCA/ BTECH CS
FRESHERS MAY APPLY
Benefits
Regular Trainings
Mentoring for Project Handling
Job Types: Full-time, Fresher
Pay: From ₹6,000.00 per month
Benefits:
Flexible schedule
Schedule:
Day shift
Ability to commute/relocate:
New Delhi, Delhi: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
total work: 1 year (Preferred)
Work Location: In person
Show less
Base pay
The minimum salary is ₹6T and the max salary is ₹6T.
₹6T/mo (Employer est.)
Delhi
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable
GITS India Solutions P Ltd Ratings
4.4
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career opportunities
4.4
Comp and Benefits
4.0
Culture and values
5.0
Senior management
4.4
Work/Life Balance
4.4"
